year,total_pop,white,black,amer_indian_alaskan,asian,hawaiian_pac_isl,mixed,not_hispanic,hispanic
1990,249622814,209366661,30648345,2058726,7549082,,,227049976,22572838
1991,252980941,211606011,31290743,2126968,7957219,,,229425951,23554990
1992,256514224,213945622,31979982,2202176,8386444,,,231894879,24619345
1993,259918588,216187073,32634735,2282052,8814728,,,234141927,25776661
1994,263125821,218304774,33258981,2361078,9200988,,,236179888,26945933
1995,266278393,220384783,33847306,2441752,9604552,,,238120592,28157801
1996,269394284,222420050,34415478,2534873,10023883,,,239930826,29463458
1997,272646925,224553464,35007679,2626475,10459307,,,241751029,30895896
1998,275854104,226648119,35594140,2726036,10885809,,,243471239,32382865
1999,279040168,228687790,36173121,2832761,11346496,,,245102373,33937795
2000,282162411,228530479,35814706,2684491,10705839,467339,3959557,246500526,35661885
2001,284968955,230049196,36263029,2769731,11182404,487476,4217119,247824859,37144096
2002,287625193,231446915,36684650,2857113,11649265,507265,4479985,249007573,38617620
2003,290107933,232717191,37066096,2947575,12099525,526390,4751156,250058504,40049429
2004,292805298,234120447,37510582,3044517,12542740,547317,5039695,251303923,41501375
2005,295516599,235491577,37961688,3147772,13007663,568804,5339095,252492985,43023614
2006,298379912,236954818,38443048,3258666,13475846,590839,5656695,253773607,44606305
2007,301231207,238378087,38935533,3377213,13934641,613053,5992680,255034354,46196853
2008,304093966,239783014,39429414,3504878,14395296,635677,6345687,256300181,47793785
2009,306771529,241034399,39902270,3636766,14833733,657983,6706378,257444040,49327489
2010,309321666,242235328,40355385,3752274,15261408,678046,7039225,258578781,50742885
2011,311556874,243292145,40783547,3801451,15721072,692216,7266443,259699630,51857244
2012,313830990,244354778,41225339,3853222,16195092,706660,7495899,260904289,52926701
2013,315993715,245308889,41651863,3902766,16679752,721575,7728870,262003381,53990334
2014,318301008,246350641,42090120,3953354,17203569,735273,7968051,263212815,55088193
2015,320635163,247382690,42532491,4004358,17752744,750159,8212721,264380421,56254742
2016,322941311,248413058,42970183,4054740,18279949,765814,8457567,265490424,57450887
2017,324985539,249270773,43374142,4101605,18764237,780316,8694466,266412009,58573530
2018,326687501,249961025,43732024,4145811,19134105,793787,8920749,267047632,59639869
2019,328239523,250522190,44075086,4188092,19504862,806937,9142356,267667286,60572237
